categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;01/01/2021;19:35:41;11;VILLA DEL PARQUE;TINOGASTA;3450;-3,46E+14;-5,85E+14;App BA 147;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;01/01/2021;11:23:20;15;AGRONOMIA;NUEVA YORK;3178;-3,46E+13;-5,85E+14;App BA 147;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;01/01/2021;8:03:12;9;PARQUE AVELLANEDA;PERGAMINO;1285;-3,46E+14;-5,85E+14;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;01/01/2021;19:40:31;9;LINIERS;CUZCO;306;-3,46E+13;-5,85E+14;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;02/01/2021;11:37:28;6;CABALLITO;BONIFACIO, JOSE;249;-3,46E+14;-5,84E+14;GCS Web;Femenino;Cerrado;15/01/2021;11:43:33
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;03/01/2021;18:40:03;9;MATADEROS;GUAMINI;2353;-3,47E+14;-5,85E+14;GCS Web;Masculino;Cerrado;07/01/2021;11:17:19
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;02/01/2021;12:17:22;12;VILLA URQUIZA;BARZANA;2177;-3,46E+14;-5,85E+14;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;03/01/2021;20:23:29;11;VILLA DEL PARQUE;LAMARCA, EMILIO;2749;-3,46E+14;-5,85E+14;GCS Web;Femenino;Cerrado;18/01/2021;14:10:39
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;02/01/2021;13:53:56;10;VILLA LURO;CORTINA;115;-3,46E+14;-5,85E+13;GCS Web;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;02/01/2021;19:49:04;15;CHACARITA;CHARLONE;19;-3,46E+14;-5,84E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;03/01/2021;3:47:21;9;LINIERS;MONTIEL;1440;-3,47E+14;-5,85E+14;App BA 147;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;01/01/2021;20:06:26;7;PARQUE CHACABUCO;DEL COMERCIO;952;-3,46E+14;-5,84E+14;App BA 147;Masculino;Abierto;;
